#A  P  sigma   slow   shigh   mu  
0.032 346.241 0.5463 0.2224 0.7794 59.9349
0.100 75.419 0.4286 0.0576 0.5785 59.9531
0.316 13.731 0.0355 0.0001 0.2529 59.7828
1.000 1.841 0.0807 0.0003 0.4064 59.9642
3.162 0.166 0.2011 0.0000 0.4694 60.2416
10.000 0.011 0.1186 0.0000 0.4841 60.0024
31.623 0.001 0.2597 0.0012 1.3533 59.4898
0.010 1439.601 0.7175 0.4172 0.9383 60.0085
0.032 346.241 0.6685 0.3538 0.9102 59.9770
0.100 75.419 0.4003 0.0580 0.5661 60.0318
0.316 13.731 0.0427 0.0000 0.3205 59.9255
1.000 1.841 0.1021 0.0005 0.3770 60.0250
3.162 0.166 0.0840 0.0003 0.5196 60.0184
10.000 0.011 0.2360 0.0081 0.7215 59.9653
31.623 0.001 0.4061 0.0020 1.4319 59.4331
0.010 1439.601 0.0455 0.0002 0.2737 59.9029
0.032 346.241 0.4698 0.1037 0.6453 59.9575
0.100 75.419 0.0327 0.0001 0.2428 59.8742
0.316 13.731 0.0846 0.0001 0.3107 59.8225
1.000 1.841 0.3738 0.0215 0.5231 60.0597
3.162 0.166 0.5983 0.2122 0.8207 59.9235
10.000 0.011 0.0677 0.0006 0.5263 60.0309
31.623 0.001 1.1947 0.2448 1.9039 60.6544
0.010 1439.601 0.0724 0.0000 0.3531 59.9546
0.032 346.241 0.0985 0.0012 0.4249 59.9151
0.100 75.419 0.1111 0.0000 0.3715 60.1213
0.316 13.731 0.4179 0.0430 0.5487 59.8974
1.000 1.841 0.1098 0.0002 0.4170 59.9431
3.162 0.166 0.0837 0.0001 0.3354 59.9014
10.000 0.011 0.0894 0.0000 0.7089 60.2188
31.623 0.001 0.2381 0.0006 1.5004 59.3762
0.010 1439.601 0.7204 0.3762 0.9144 60.1790
0.032 346.241 0.0365 0.0001 0.2397 60.1577
0.100 75.419 0.0606 0.0002 0.4172 59.9561
0.316 13.731 0.5206 0.1833 0.7308 59.8680
1.000 1.841 0.3529 0.0272 0.5241 60.0560
3.162 0.166 0.0508 0.0005 0.3237 59.8472
10.000 0.011 1.5745 1.2288 1.9131 60.2015
31.623 0.001 0.2843 0.0001 1.1729 59.8342
0.010 1439.601 0.0601 0.0002 0.2955 60.0370
0.032 346.241 0.0482 0.0001 0.3523 60.1339
0.100 75.419 0.0864 0.0000 0.3611 60.1200
0.316 13.731 0.5409 0.1888 0.7515 59.9477
1.000 1.841 0.4577 0.1301 0.6818 59.7863
3.162 0.166 0.0902 0.0001 0.3942 60.0545
10.000 0.011 0.0846 0.0003 0.5096 59.9383
31.623 0.001 0.1266 0.0000 0.7957 60.2356
0.010 1439.601 0.6947 0.3790 0.9025 59.9490
0.032 346.241 0.0633 0.0001 0.4004 60.0670
0.100 75.419 0.0596 0.0000 0.3282 60.0665
0.316 13.731 0.0467 0.0001 0.3239 59.8781
1.000 1.841 0.0973 0.0042 0.4249 59.9496
3.162 0.166 0.0538 0.0000 0.3712 60.1974
10.000 0.011 0.9456 0.4094 1.3041 60.2018
31.623 0.001 0.1923 0.0003 1.2246 59.0719
0.010 1439.601 0.1197 0.0008 0.4052 60.0761
0.032 346.241 0.0507 0.0000 0.2798 60.0613
0.100 75.419 0.1170 0.0003 0.4554 60.0337
0.316 13.731 0.4807 0.1179 0.6533 60.0355
1.000 1.841 0.0676 0.0004 0.2938 60.0064
3.162 0.166 0.0630 0.0000 0.3872 60.1489
10.000 0.011 0.1477 0.0008 0.6127 59.9332
31.623 0.001 0.2467 0.0006 0.8988 60.3771
0.010 1439.601 0.4608 0.0994 0.6373 60.0623
0.032 346.241 0.0603 0.0006 0.3867 60.0537
0.100 75.419 0.0757 0.0006 0.3486 59.9721
0.316 13.731 0.1412 0.0000 0.4360 60.0997
1.000 1.841 0.3380 0.0100 0.5023 59.9987
3.162 0.166 0.0775 0.0000 0.2666 60.1905
10.000 0.011 0.0708 0.0002 0.4216 60.4451
31.623 0.001 0.1218 0.0000 0.9621 59.7871
0.010 1439.601 0.3247 0.0147 0.4938 59.9411
0.032 346.241 0.0659 0.0001 0.4123 60.1298
0.100 75.419 0.1255 0.0001 0.3379 60.0537
0.316 13.731 0.0638 0.0000 0.3290 59.9663
1.000 1.841 0.5750 0.2128 0.7925 59.8953
3.162 0.166 0.2602 0.0001 0.5047 59.9078
10.000 0.011 0.9617 0.4924 1.4087 60.1247
31.623 0.001 1.0238 0.0056 1.9705 60.2072
0.010 1439.601 0.0684 0.0000 0.4295 59.9418
0.032 346.241 0.6524 0.3568 0.8963 60.1221
0.100 75.419 0.3527 0.0664 0.5935 60.0696
0.316 13.731 0.7104 0.4556 0.9330 60.0378
1.000 1.841 0.2762 0.0105 0.4666 59.9613
3.162 0.166 0.0415 0.0001 0.3001 60.2128
10.000 0.011 0.0949 0.0000 0.6472 60.1460
31.623 0.001 0.2020 0.0020 1.3236 59.5176
0.010 1439.601 0.0587 0.0011 0.3279 59.9220
0.032 346.241 0.6672 0.3650 0.9187 60.0822
0.100 75.419 0.0588 0.0007 0.3910 59.9304
0.316 13.731 0.3276 0.0089 0.5002 59.8995
1.000 1.841 0.1675 0.0004 0.3984 59.9046
3.162 0.166 0.6724 0.2793 0.9195 60.1034
10.000 0.011 0.6083 0.1331 0.9566 59.9157
31.623 0.001 0.1359 0.0001 0.8525 59.3689
0.010 1439.601 0.1109 0.0000 0.4506 60.0964
0.032 346.241 0.1346 0.0001 0.4288 60.0087
0.100 75.419 0.0574 0.0001 0.3524 59.9064
0.316 13.731 0.5956 0.2375 0.8001 60.1459
1.000 1.841 0.6471 0.3193 0.8919 60.0390
3.162 0.166 0.6061 0.2478 0.8708 60.0759
10.000 0.011 0.5858 0.0004 0.7695 60.0150
31.623 0.001 0.8175 0.0001 1.6259 59.2016
0.010 1439.601 0.0541 0.0000 0.4040 60.0454
0.032 346.241 0.6629 0.3331 0.8847 60.0472
0.100 75.419 0.0917 0.0000 0.3079 59.9115
0.316 13.731 0.5278 0.1649 0.7183 59.9860
1.000 1.841 0.0676 0.0002 0.3790 59.8730
3.162 0.166 0.1875 0.0000 0.3978 59.8810
10.000 0.011 0.1411 0.0005 0.5489 60.0838
31.623 0.001 0.8798 0.1068 1.5944 59.7185
0.010 1439.601 0.1910 0.0244 0.5606 59.8852
0.032 346.241 0.7104 0.4086 0.9545 59.9884
0.100 75.419 0.0954 0.0003 0.4276 60.1577
0.316 13.731 0.0830 0.0000 0.3774 60.0107
1.000 1.841 0.4376 0.0494 0.5454 60.0384
3.162 0.166 0.7724 0.4603 1.0406 59.9749
10.000 0.011 1.2597 0.8200 1.6546 60.0528
31.623 0.001 0.2218 0.0000 0.9724 60.5412
0.010 1439.601 0.0446 0.0001 0.3079 60.0199
0.032 346.241 0.0394 0.0007 0.3209 59.9685
0.100 75.419 0.0584 0.0000 0.3628 59.9693
0.316 13.731 0.0483 0.0002 0.2903 59.8656
1.000 1.841 0.2259 0.0000 0.4439 59.9103
3.162 0.166 0.2343 0.0026 0.4536 60.0702
10.000 0.011 0.4186 0.0000 0.7135 59.7498
31.623 0.001 0.1707 0.0000 1.3332 60.7186
0.010 1439.601 0.0621 0.0000 0.3450 60.1686
0.032 346.241 0.7000 0.3342 0.8962 59.8932
0.100 75.419 0.2729 0.0004 0.4582 59.9926
0.316 13.731 0.2369 0.0077 0.4697 60.0398
1.000 1.841 0.0793 0.0000 0.3405 59.8873
3.162 0.166 0.5678 0.1567 0.7570 60.1921
10.000 0.011 0.6689 0.0708 0.9346 60.0354
31.623 0.001 0.1499 0.0001 0.9091 60.0932
0.010 1439.601 0.0516 0.0000 0.3063 59.8887
0.032 346.241 0.5505 0.2247 0.7803 60.0813
0.100 75.419 0.0670 0.0000 0.2804 59.9575
0.316 13.731 0.4439 0.1366 0.6821 60.0009
1.000 1.841 0.1337 0.0002 0.4116 60.0685
3.162 0.166 0.0868 0.0000 0.4318 60.0486
10.000 0.011 0.0822 0.0000 0.5567 60.0604
31.623 0.001 0.4292 0.0001 1.2493 59.6013
0.010 1439.601 0.5481 0.2603 0.8071 59.9234
0.032 346.241 0.4432 0.1486 0.6989 59.9366
0.100 75.419 0.7819 0.4967 1.0088 59.8678
0.316 13.731 0.3443 0.0003 0.4763 59.9711
1.000 1.841 0.5315 0.1762 0.7294 59.9697
3.162 0.166 0.5353 0.1038 0.6935 59.9243
10.000 0.011 0.0986 0.0000 0.4600 60.1586
31.623 0.001 1.5560 0.6409 2.2564 59.4525
0.010 1439.601 0.7114 0.4168 0.9401 59.9604
0.032 346.241 0.5827 0.2653 0.8290 60.0413
0.100 75.419 0.0507 0.0001 0.2904 60.1349
0.316 13.731 0.6993 0.4147 0.9294 60.0346
1.000 1.841 0.0544 0.0000 0.2546 59.9862
3.162 0.166 0.0521 0.0042 0.4494 59.8923
10.000 0.011 0.2054 0.0000 0.5093 59.9481
31.623 0.001 1.6729 0.4515 2.4607 60.8382
0.010 1439.601 0.0526 0.0001 0.2777 59.7928
0.032 346.241 0.2696 0.0002 0.4894 59.9707
0.100 75.419 0.7699 0.4964 1.0028 59.9491
0.316 13.731 0.0601 0.0001 0.3589 60.1268
1.000 1.841 0.0647 0.0006 0.4106 60.0092
3.162 0.166 0.0744 0.0004 0.3325 60.1202
10.000 0.011 0.0486 0.0001 0.3678 60.0308
31.623 0.001 0.1931 0.0000 1.2757 60.0399
0.010 1439.601 0.0546 0.0014 0.3461 59.9851
0.032 346.241 0.6354 0.2845 0.8362 59.9525
0.100 75.419 0.5747 0.2018 0.7780 59.9742
0.316 13.731 0.5744 0.2349 0.8014 59.9664
1.000 1.841 0.3506 0.0037 0.4896 59.9950
3.162 0.166 0.6272 0.2109 0.8245 60.1132
10.000 0.011 0.0797 0.0001 0.5839 59.8249
31.623 0.001 0.3170 0.0018 1.5421 60.1169
0.010 1439.601 0.5197 0.0971 0.6457 60.1537
0.032 346.241 0.3466 0.1271 0.6465 59.9779
0.100 75.419 0.1040 0.0002 0.4008 59.9725
0.316 13.731 0.0503 0.0001 0.3566 59.9244
1.000 1.841 0.0798 0.0001 0.3927 59.9321
3.162 0.166 0.6166 0.2606 0.8994 59.8506
10.000 0.011 0.0714 0.0003 0.5453 60.2382
31.623 0.001 0.1831 0.0000 1.1051 60.4510
0.010 1439.601 0.0551 0.0001 0.3095 60.0143
0.032 346.241 0.0590 0.0000 0.3697 59.8525
0.100 75.419 0.0526 0.0000 0.4280 59.8616
0.316 13.731 0.1018 0.0003 0.4105 59.9608
1.000 1.841 0.3673 0.0575 0.5872 60.1258
3.162 0.166 0.0972 0.0002 0.4054 60.0745
10.000 0.011 0.0680 0.0000 0.4812 60.3628
31.623 0.001 1.2093 0.1750 1.6835 59.7413
0.010 1439.601 0.5713 0.2144 0.7790 60.1426
0.032 346.241 0.0517 0.0001 0.2531 59.9881
0.100 75.419 0.6872 0.3850 0.9250 59.8940
0.316 13.731 0.1207 0.0001 0.4090 59.9990
1.000 1.841 0.5521 0.2004 0.7791 60.0624
3.162 0.166 0.2793 0.0096 0.5449 60.0200
10.000 0.011 0.3038 0.0037 0.7074 59.8601
31.623 0.001 0.1446 0.0000 0.8774 59.7344
0.010 1439.601 0.0357 0.0000 0.2875 59.9993
0.032 346.241 0.4761 0.1196 0.6599 60.0079
0.100 75.419 0.2452 0.0009 0.4776 59.9867
0.316 13.731 0.1023 0.0002 0.3940 60.1134
1.000 1.841 0.6062 0.2758 0.8475 59.9737
3.162 0.166 0.0662 0.0010 0.4770 60.0377
10.000 0.011 0.1844 0.0001 0.4894 60.1319
31.623 0.001 0.1611 0.0000 1.0326 60.3716
0.010 1439.601 0.0582 0.0001 0.3702 59.8015
0.032 346.241 0.0536 0.0000 0.2853 60.0683
0.100 75.419 0.4530 0.0922 0.6223 60.1227
0.316 13.731 0.2417 0.0073 0.4881 59.8252
1.000 1.841 0.1208 0.0002 0.3856 59.9304
3.162 0.166 0.1174 0.0006 0.4299 59.8739
10.000 0.011 0.0988 0.0001 0.7247 60.4595
31.623 0.001 0.1777 0.0020 1.1316 59.5028
0.010 1439.601 0.4151 0.0155 0.5302 59.9597
0.032 346.241 0.0705 0.0005 0.4013 59.9425
0.100 75.419 0.0883 0.0003 0.3196 60.1234
0.316 13.731 0.0518 0.0000 0.3065 60.0665
1.000 1.841 0.0501 0.0000 0.3510 59.9693
3.162 0.166 0.8208 0.5030 1.0670 60.1226
10.000 0.011 0.0566 0.0001 0.3695 60.0020
31.623 0.001 1.5807 0.5361 2.4674 59.8709
0.010 1439.601 0.1388 0.0009 0.3562 59.8403
0.032 346.241 0.0587 0.0010 0.3832 60.0265
0.100 75.419 0.0579 0.0000 0.3417 60.1578
0.316 13.731 0.4693 0.1075 0.6366 59.9966
