#A  P  sigma   slow   shigh   mu  
3.162 0.166 0.3145 0.3118 0.3169 59.9881
10.000 0.011 0.4182 0.4131 0.4225 59.9822
31.623 0.001 0.7417 0.7202 0.7600 59.9890
0.010 1439.601 0.5152 0.5106 0.5188 59.9746
0.032 346.241 0.3260 0.3233 0.3283 59.9787
0.100 75.419 0.2820 0.2801 0.2846 59.9887
0.316 13.731 0.2875 0.2853 0.2899 59.9905
1.000 1.841 0.2889 0.2867 0.2914 59.9930
3.162 0.166 0.3186 0.3156 0.3209 59.9930
10.000 0.011 0.4101 0.4059 0.4153 59.9940
31.623 0.001 0.7216 0.7032 0.7424 59.9479
0.010 1439.601 0.5131 0.5087 0.5169 59.9774
0.032 346.241 0.3254 0.3230 0.3282 59.9737
0.100 75.419 0.2777 0.2754 0.2798 59.9829
0.316 13.731 0.2842 0.2820 0.2867 59.9901
1.000 1.841 0.2926 0.2899 0.2946 59.9976
3.162 0.166 0.3152 0.3129 0.3182 59.9892
10.000 0.011 0.4144 0.4097 0.4190 59.9836
31.623 0.001 0.7415 0.7233 0.7644 59.9508
0.010 1439.601 0.5115 0.5082 0.5163 59.9776
0.032 346.241 0.3253 0.3228 0.3280 59.9783
0.100 75.419 0.2806 0.2782 0.2828 59.9828
0.316 13.731 0.2858 0.2833 0.2879 59.9844
1.000 1.841 0.2913 0.2891 0.2937 59.9967
3.162 0.166 0.3117 0.3090 0.3141 59.9915
10.000 0.011 0.4129 0.4081 0.4174 59.9863
31.623 0.001 0.7211 0.7052 0.7452 59.9498
0.010 1439.601 0.5188 0.5147 0.5230 59.9805
0.032 346.241 0.3171 0.3144 0.3196 59.9840
0.100 75.419 0.2847 0.2823 0.2867 59.9830
0.316 13.731 0.2880 0.2855 0.2901 59.9929
1.000 1.841 0.2941 0.2915 0.2963 59.9906
3.162 0.166 0.3139 0.3119 0.3172 59.9879
10.000 0.011 0.4231 0.4180 0.4277 60.0004
31.623 0.001 0.7291 0.7129 0.7528 59.9890
0.010 1439.601 0.5155 0.5110 0.5193 59.9714
0.032 346.241 0.3285 0.3256 0.3309 59.9787
0.100 75.419 0.2809 0.2787 0.2832 59.9940
0.316 13.731 0.2860 0.2836 0.2882 59.9923
1.000 1.841 0.2940 0.2916 0.2962 59.9934
3.162 0.166 0.3142 0.3118 0.3172 59.9936
10.000 0.011 0.4074 0.4025 0.4118 59.9898
31.623 0.001 0.7284 0.7069 0.7487 60.0292
0.010 1439.601 0.5188 0.5146 0.5228 59.9700
0.032 346.241 0.3203 0.3182 0.3234 59.9818
0.100 75.419 0.2764 0.2738 0.2784 59.9851
0.316 13.731 0.2829 0.2806 0.2850 59.9912
1.000 1.841 0.2924 0.2900 0.2948 59.9929
3.162 0.166 0.3128 0.3104 0.3157 59.9824
10.000 0.011 0.4106 0.4065 0.4159 59.9904
31.623 0.001 0.7216 0.7047 0.7445 59.9838
0.010 1439.601 0.5171 0.5133 0.5219 59.9736
0.032 346.241 0.3259 0.3234 0.3288 59.9857
0.100 75.419 0.2839 0.2817 0.2862 59.9831
0.316 13.731 0.2841 0.2818 0.2863 59.9902
1.000 1.841 0.2924 0.2902 0.2949 59.9876
3.162 0.166 0.3150 0.3124 0.3175 59.9924
10.000 0.011 0.4087 0.4040 0.4132 59.9939
31.623 0.001 0.7246 0.7056 0.7458 59.9644
0.010 1439.601 0.5110 0.5070 0.5152 59.9671
0.032 346.241 0.3206 0.3179 0.3230 59.9838
0.100 75.419 0.2782 0.2755 0.2800 59.9858
0.316 13.731 0.2842 0.2821 0.2866 59.9909
1.000 1.841 0.2884 0.2862 0.2908 59.9913
3.162 0.166 0.3228 0.3199 0.3253 59.9888
10.000 0.011 0.4186 0.4141 0.4238 59.9915
31.623 0.001 0.7080 0.6891 0.7287 60.0572
0.010 1439.601 0.5181 0.5145 0.5227 59.9754
0.032 346.241 0.3280 0.3249 0.3301 59.9807
0.100 75.419 0.2804 0.2785 0.2831 59.9872
0.316 13.731 0.2877 0.2858 0.2904 59.9871
1.000 1.841 0.2910 0.2888 0.2934 59.9947
3.162 0.166 0.3158 0.3134 0.3187 59.9901
10.000 0.011 0.4091 0.4044 0.4136 59.9911
31.623 0.001 0.7046 0.6874 0.7264 59.9320
0.010 1439.601 0.5191 0.5155 0.5239 59.9646
0.032 346.241 0.3238 0.3213 0.3266 59.9799
0.100 75.419 0.2793 0.2767 0.2812 59.9870
0.316 13.731 0.2862 0.2838 0.2885 59.9921
1.000 1.841 0.2922 0.2902 0.2950 59.9922
3.162 0.166 0.3163 0.3138 0.3192 59.9959
10.000 0.011 0.4157 0.4113 0.4207 59.9998
31.623 0.001 0.7287 0.7074 0.7482 60.0079
0.010 1439.601 0.5154 0.5115 0.5197 59.9692
0.032 346.241 0.3267 0.3235 0.3289 59.9834
0.100 75.419 0.2805 0.2785 0.2831 59.9936
0.316 13.731 0.2888 0.2861 0.2907 59.9851
1.000 1.841 0.2912 0.2888 0.2935 59.9956
3.162 0.166 0.3195 0.3170 0.3223 59.9884
10.000 0.011 0.4054 0.4009 0.4101 59.9880
31.623 0.001 0.7015 0.6790 0.7193 59.9450
0.010 1439.601 0.5171 0.5127 0.5209 59.9764
0.032 346.241 0.3234 0.3211 0.3263 59.9892
0.100 75.419 0.2816 0.2793 0.2839 59.9918
0.316 13.731 0.2866 0.2842 0.2887 59.9926
1.000 1.841 0.2943 0.2920 0.2967 59.9900
3.162 0.166 0.3120 0.3101 0.3153 59.9916
10.000 0.011 0.4159 0.4112 0.4206 59.9815
31.623 0.001 0.6872 0.6701 0.7084 59.9747
0.010 1439.601 0.5131 0.5098 0.5181 59.9590
0.032 346.241 0.3263 0.3235 0.3288 59.9856
0.100 75.419 0.2809 0.2789 0.2834 59.9921
0.316 13.731 0.2845 0.2823 0.2869 59.9929
1.000 1.841 0.2913 0.2887 0.2935 59.9904
3.162 0.166 0.3175 0.3146 0.3200 59.9871
10.000 0.011 0.4084 0.4040 0.4132 59.9924
31.623 0.001 0.7547 0.7334 0.7760 60.0344
0.010 1439.601 0.5210 0.5166 0.5250 59.9715
0.032 346.241 0.3203 0.3180 0.3231 59.9801
0.100 75.419 0.2810 0.2789 0.2833 59.9869
0.316 13.731 0.2851 0.2832 0.2878 59.9973
1.000 1.841 0.2906 0.2885 0.2932 59.9908
3.162 0.166 0.3134 0.3112 0.3164 59.9937
10.000 0.011 0.4129 0.4085 0.4177 59.9937
31.623 0.001 0.7356 0.7147 0.7557 59.9858
0.010 1439.601 0.5142 0.5107 0.5190 59.9661
0.032 346.241 0.3232 0.3203 0.3254 59.9866
0.100 75.419 0.2819 0.2796 0.2840 59.9868
0.316 13.731 0.2817 0.2800 0.2846 59.9927
1.000 1.841 0.2924 0.2896 0.2943 59.9878
3.162 0.166 0.3152 0.3128 0.3181 59.9957
10.000 0.011 0.4090 0.4051 0.4143 59.9878
31.623 0.001 0.7395 0.7221 0.7627 60.0585
0.010 1439.601 0.5206 0.5165 0.5249 59.9787
0.032 346.241 0.3201 0.3173 0.3225 59.9804
0.100 75.419 0.2830 0.2806 0.2851 59.9888
0.316 13.731 0.2840 0.2815 0.2862 59.9920
1.000 1.841 0.2911 0.2887 0.2933 59.9939
3.162 0.166 0.3183 0.3154 0.3207 59.9905
10.000 0.011 0.4120 0.4074 0.4168 60.0002
31.623 0.001 0.7078 0.6877 0.7282 59.9843
